ID|BRAND|MODEL|VARIANT|ENGINE|TRANSMISSION|FUEL|MILEAGE|PRICE|SEATS|URL
1|Maruti|Swift|LXI|1197|Manual|Petrol|22|5.14|5|https://www.cardekho.com/maruti/swift
2|Maruti|Swift|LDI|1248|Manual|Diesel|28.4|5.99|5|https://www.cardekho.com/maruti/swift
5|Maruti|Baleno|Sigma|1197|Manual|Petrol|21.4|5.58|5|https://www.cardekho.com/carmodels/Maruti/Maruti_Baleno
12|Maruti|Dzire|LXI 1.2|1197|Manual|Petrol|22|5.82|5|https://www.cardekho.com/maruti/swift-dzire
29|Hyundai|Elite i20|Era|1197|Manual|Petrol|18.6|5.52|5|https://www.cardekho.com/carmodels/Hyundai/Hyundai_i20
89|Mahindra|KUV100 NXT|G80 K2|1198|Manual|Petrol|18.15|4.88|6|https://www.cardekho.com/mahindra/kuv-100
90|Mahindra|KUV100 NXT|G80 K2 Plus|1198|Manual|Petrol|18.15|5.32|6|https://www.cardekho.com/mahindra/kuv-100
91|Mahindra|KUV100 NXT|G80 K4 Plus 5Str|1198|Manual|Petrol|18.15|5.73|6|https://www.cardekho.com/mahindra/kuv-100
92|Mahindra|KUV100 NXT|G80 K4 Plus|1198|Manual|Petrol|18.15|5.79|6|https://www.cardekho.com/mahindra/kuv-100
93|Mahindra|KUV100 NXT|D75 K2|1198|Manual|Diesel|25.32|5.9|6|https://www.cardekho.com/mahindra/kuv-100
126|Renault|Triber|RXE|999|Manual|Petrol|20|4.95|7|https://www.cardekho.com/renault/triber
127|Renault|Triber|RXL|999|Manual|Petrol|20|5.49|7|https://www.cardekho.com/renault/triber
128|Renault|Triber|RXT|999|Manual|Petrol|20|5.99|7|https://www.cardekho.com/renault/triber
147|Renault|KWID|STD|799|Manual|Petrol|25.17|2.83|5|https://www.cardekho.com/carmodels/Renault/Renault_KWID
148|Renault|KWID|RXE|799|Manual|Petrol|25.17|3.53|5|https://www.cardekho.com/carmodels/Renault/Renault_KWID
149|Renault|KWID|RXL|799|Manual|Petrol|25.17|3.83|5|https://www.cardekho.com/carmodels/Renault/Renault_KWID
150|Renault|KWID|RXT|799|Manual|Petrol|25.17|4.13|5|https://www.cardekho.com/carmodels/Renault/Renault_KWID
151|Renault|KWID|1.0 RXT|999|Manual|Petrol|23.01|4.33|5|https://www.cardekho.com/carmodels/Renault/Renault_KWID
152|Renault|KWID|1.0 RXT Opt|999|Manual|Petrol|23.01|4.4|5|https://www.cardekho.com/carmodels/Renault/Renault_KWID
153|Renault|KWID|Climber 1.0 MT|999|Manual|Petrol|23.01|4.54|5|https://www.cardekho.com/carmodels/Renault/Renault_KWID
154|Renault|KWID|Climber 1.0 MT Opt|999|Manual|Petrol|23.01|4.62|5|https://www.cardekho.com/carmodels/Renault/Renault_KWID
155|Renault|KWID|1.0 RXT AMT|999|Automatic|Petrol|24.04|4.63|5|https://www.cardekho.com/carmodels/Renault/Renault_KWID
156|Renault|KWID|1.0 RXT AMT Opt|999|Automatic|Petrol|24.04|4.7|5|https://www.cardekho.com/carmodels/Renault/Renault_KWID
157|Renault|KWID|Climber 1.0 AMT|999|Automatic|Petrol|24.04|4.84|5|https://www.cardekho.com/carmodels/Renault/Renault_KWID
158|Renault|KWID|Climber 1.0 AMT Opt|999|Automatic|Petrol|24.04|4.92|5|https://www.cardekho.com/carmodels/Renault/Renault_KWID
172|Ford|FIGO|Ambiente 1.2 Ti-VCT|1194|Manual|Petrol|20.4|5.23|5|https://www.cardekho.com/carmodels/Ford/Ford_Figo
173|Ford|FIGO|Titanium 1.2 Ti-VCT MT|1194|Manual|Petrol|20.4|6|5|https://www.cardekho.com/carmodels/Ford/Ford_Figo
179|Ford|ASPIRE|Ambiente 1.2 Ti-VCT|1194|Manual|Petrol|20.4|5.89|5|https://www.cardekho.com/ford/figo-aspire
